ID,Stratum,Reference,Classification
455,1999,1996,1997
456,1999,1998,1998
457,1999,2000,1997
458,1999,1996,2007
459,1999,1998,1997
460,1999,1998,1988
462,1999,1998,1998
464,1999,1996,2008
467,1999,1996,1997
468,1999,1999,1999
469,1999,1994,1996
470,1999,1999,2016
471,1999,1998,1998
472,1999,1998,1998
473,1999,1998,1998
474,1999,1996,1997
475,1999,1997,2016
476,2000,2000,2002
477,2000,2016,1999
478,2000,1998,1998
479,2000,1997,1999
480,2000,1996,1999
481,2000,1998,1998
482,2000,1998,1997
483,2000,2016,1999
484,2000,2000,1999
486,2000,1995,1998
487,2000,1999,1999
488,2000,1995,1999
490,2000,1998,1999
491,2000,1998,1998
493,2000,1994,1998
494,2000,1998,1999
495,2000,1999,1999
496,2000,1999,1998
498,2000,1999,1999
500,2000,2000,1999
501,2001,1996,1999
502,2001,1994,2000
503,2001,2000,2000
504,2001,1998,1998
505,2001,2000,2004
506,2001,1996,255
507,2001,1995,1998
508,2001,1995,1997
510,2001,1995,2000
511,2001,1995,2000
512,2001,1998,2001
513,2001,1996,1999
514,2001,1996,2000
515,2001,1996,1998
516,2001,1999,2016
517,2001,1999,1999
518,2001,1994,1999
521,2001,2003,2000
522,2001,1999,2000
525,2001,1998,2002
526,2002,2002,2001
527,2002,1998,2001
528,2002,1998,2001
529,2002,2001,2016
532,2002,1998,2001
533,2002,1998,1998
534,2002,2001,1992
535,2002,1995,1999
536,2002,1998,2001
538,2002,1996,255
539,2002,1996,2000
540,2002,1998,2000
541,2002,1995,2001
543,2002,2016,2016
544,2002,2016,2016
545,2002,1996,2001
547,2002,1995,2001
548,2002,1994,2000
549,2002,255,2016
550,2002,2000,2001
551,2003,1997,2002
552,2003,2003,2001
553,2003,2002,2002
554,2003,2016,2002
556,2003,2003,2003
557,2003,1999,2002
558,2003,1996,2002
559,2003,2016,2002
560,2003,2001,2001
563,2003,2016,2001
564,2003,1996,2002
565,2003,2001,2002
566,2003,1999,2001
567,2003,1999,1999
576,2004,2004,2001
577,2004,2004,255
579,2004,1998,2003
580,2004,2004,2016
581,2004,2003,2002
583,2004,1997,1999
584,2004,1998,2007
585,2004,2004,2001
587,2004,1999,2002
588,2004,2016,2002
590,2004,1999,2002
591,2004,1994,2003
592,2004,1998,1996
593,2004,1998,2002
594,2004,2002,2001
595,2004,1999,1998
598,2004,2002,2003
599,2004,1996,2003
600,2004,2005,2003
601,2005,1998,2004
602,2005,2004,2003
603,2005,1996,2002
605,2005,1995,2004
607,2005,2001,2003
608,2005,1998,2016
609,2005,1997,2001
611,2005,1999,2002
612,2005,1997,2003
615,2005,2005,2004
616,2005,255,2003
617,2005,1994,2008
618,2005,1999,2002
620,2005,2016,2016
622,2005,1999,2003
623,2005,2005,2004
624,2005,2000,2001
625,2005,2001,2001
627,2006,2000,2006
630,2006,1999,2004
631,2006,2005,2000
632,2006,2016,2016
633,2006,1998,2004
634,2006,1996,2005
635,2006,1998,2005
637,2006,2006,2005
639,2006,1995,2005
640,2006,1998,2002
641,2006,1999,2001
642,2006,1998,2004
643,2006,1994,2004
644,2006,2001,2002
645,2006,2016,2016
646,2006,2016,2005
647,2006,1999,2004
648,2006,1997,2004
649,2006,1998,2005
650,2006,2013,2004
651,2007,1998,2005
652,2007,1994,2006
653,2007,2006,2006
654,2007,1999,2005
655,2007,1998,2003
656,2007,2016,255
659,2007,1996,2006
660,2007,2004,2006
661,2007,2001,2005
662,2007,1999,2003
663,2007,2016,255
665,2007,1998,255
667,2007,1999,2003
669,2007,2002,2005
670,2007,2000,2006
672,2007,1998,2006
673,2007,2016,2001
676,2008,255,255
680,2008,1998,2005
681,2008,1997,2005
683,2008,1999,2004
684,2008,2008,2007
685,2008,2007,2016
686,2008,2016,255
687,2008,1993,2016
688,2008,2000,2005
689,2008,2007,2007
690,2008,2007,2006
691,2008,2008,2016
693,2008,2002,2016
694,2008,2000,2007
695,2008,2005,2016
697,2008,2016,2016
698,2008,255,255
699,2008,2007,2006
701,2009,2008,2016
704,2009,1990,2010
705,2009,2007,2007
707,2009,2010,2016
708,2009,1998,2008
709,2009,2008,2008
711,2009,2010,2008
712,2009,2000,2007
713,2009,2008,2016
715,2009,255,255
716,2009,1999,2005
717,2009,1998,2016
718,2009,255,255
719,2009,2007,2008
720,2009,255,255
721,2009,2009,2007
722,2009,2010,2007
723,2009,2009,2008
724,2009,1998,2016
725,2009,2016,2016
726,2010,1998,2009
727,2010,2009,255
728,2010,2008,2016
730,2010,1990,2009
731,2010,2010,2016
732,2010,2011,2016
733,2010,2002,2009
734,2010,2009,2009
737,2010,2004,2009
738,2010,1998,2007
739,2010,2016,2016
740,2010,2016,2008
741,2010,2005,1990
742,2010,2009,2009
743,2010,255,2008
745,2010,2016,2016
746,2010,1996,2008
747,2010,2009,2009
748,2010,255,2016
749,2010,1991,2016
750,2010,2000,2016
751,2011,1997,2008
752,2011,1998,2006
753,2011,1999,2016
755,2011,2013,2010
756,2011,2011,2016
757,2011,2016,255
758,2011,1999,2007
759,2011,1997,2009
760,2011,2011,255
763,2011,2016,2008
765,2011,1996,2009
767,2011,1996,2009
768,2011,1997,2002
771,2011,2007,2009
772,2011,255,2011
773,2011,2007,2007
774,2011,1999,2010
775,2011,2004,2009
776,2012,1996,2016
777,2012,2012,2010
778,2012,2011,2012
779,2012,2012,2011
780,2012,1998,2011
782,2012,2011,2011
783,2012,2011,2010
784,2012,2013,2011
785,2012,1999,2010
786,2012,2016,2016
788,2012,2007,2008
789,2012,1998,2011
790,2012,2016,2016
791,2012,1999,2010
792,2012,1995,2011
793,2012,2004,2010
794,2012,255,2016
795,2012,2008,2011
796,2012,2008,2011
798,2012,2010,2011
799,2012,1996,2009
801,2013,2013,2012
802,2013,2016,2012
803,2013,2012,2012
804,2013,2012,2008
805,2013,2013,2011
807,2013,1992,2011
808,2013,2016,255
809,2013,2011,2012
810,2013,1997,2012
811,2013,1989,2010
812,2013,2012,2012
814,2013,2016,2012
815,2013,2012,2012
817,2013,2016,2012
818,2013,1994,2011
819,2013,2013,2012
821,2013,2013,2016
822,2013,2013,2011
824,2013,2013,2012
834,2013,2013,2012
837,2013,2013,2013
841,2013,2013,2012
844,2013,2013,2016
848,2013,2013,2012
